OBJECTID,SMPL_PNT,SMPL_DATE,PRMT_CODE,PRMT_VL,PRMT_ORGN_SIGN
12682,DR01,2017/04/04 09:32:55+00,ammonia (MGL),11.41,=
12773,DR01,2017/01/10 09:51:33+00,Suspended Solids 105 C (MGL),12,=
12876,DR01,2017/07/04 10:13:51+00,Temperature (CELSIUS),12.1,=
13242,DR01,2017/06/06 08:40:55+00,Temperature (CELSIUS),13.8,=
13344,DR01,2017/12/05 09:41:47+00,Suspended Solids 105 C (MGL),14,=
13481,DR01,2017/09/05 09:37:40+00,Temperature (CELSIUS),14.6,=
13518,DR01,2017/08/01 10:58:02+00,Temperature (CELSIUS),14.8,=
13971,DR01,2017/04/04 09:32:55+00,Suspended Solids 105 C (MGL),16,=
14101,DR01,2017/10/03 09:25:41+00,Temperature (CELSIUS),16.5,=
14250,DR01,2017/09/05 09:37:40+00,COD (MGL),17,=
14607,DR01,2017/11/02 00:00:00+00,Temperature (CELSIUS),18.5,=
14731,DR01,2017/10/03 09:25:41+00,COD (MGL),19,=
14751,DR01,2017/12/05 09:41:47+00,Temperature (CELSIUS),19,=
14818,DR01,2017/05/02 00:00:00+00,Temperature (CELSIUS),19.3,=
15004,DR01,2017/04/04 09:32:55+00,Temperature (CELSIUS),20,=
15341,DR01,2017/03/07 10:35:10+00,Temperature (CELSIUS),20.8,=
15558,DR01,2017/02/07 09:20:34+00,Temperature (CELSIUS),21.9,=
15581,DR01,2017/01/10 09:51:33+00,Temperature (CELSIUS),22,=
16091,DR01,2017/07/04 10:13:51+00,Conductivity (MSM),25,=
16149,DR01,2017/11/02 00:00:00+00,COD (MGL),25,=
16222,DR01,2017/02/07 09:20:34+00,COD (MGL),26,=
16238,DR01,2017/08/01 10:58:02+00,Oxygen Saturation (PC),26,=
16354,DR01,2017/07/04 10:13:51+00,COD (MGL),27,=
16448,DR01,2017/11/02 00:00:00+00,Conductivity (MSM),28,=
16522,DR01,2017/11/02 00:00:00+00,Oxygen Saturation (PC),29,=
16633,DR01,2017/05/02 00:00:00+00,COD (MGL),30,=
16840,DR01,2017/08/01 10:58:02+00,COD (MGL),31,=
16843,DR01,2017/10/03 09:25:41+00,Oxygen Saturation (PC),31,=
17051,DR01,2017/05/02 00:00:00+00,Oxygen Saturation (PC),34,=
17057,DR01,2017/12/05 09:41:47+00,Oxygen Saturation (PC),34,=
17058,DR01,2017/12/05 09:41:47+00,Conductivity (MSM),34,=
17197,DR01,2017/06/06 08:40:55+00,COD (MGL),36,=
17305,DR01,2017/02/07 09:20:34+00,Oxygen Saturation (PC),38,=
17738,DR01,2017/09/05 09:37:40+00,Conductivity (MSM),42,=
17767,DR01,2017/01/10 09:51:33+00,COD (MGL),43,=
17984,DR01,2017/10/03 09:25:41+00,Conductivity (MSM),46,=
18181,DR01,2017/02/07 09:20:34+00,Conductivity (MSM),50,=
18395,DR01,2017/04/04 09:32:55+00,COD (MGL),51,=
18463,DR01,2017/06/06 08:40:55+00,Conductivity (MSM),52,=
18468,DR01,2017/09/05 09:37:40+00,Oxygen Saturation (PC),52,=
18497,DR01,2017/01/10 09:51:33+00,Conductivity (MSM),53,=
18555,DR01,2017/03/07 10:35:10+00,Conductivity (MSM),54,=
18897,DR01,2017/04/04 09:32:55+00,Conductivity (MSM),59,=
19731,DR01,2017/08/01 10:58:02+00,Conductivity (MSM),68,=
20093,DR01,2017/07/04 10:13:51+00,Oxygen Saturation (PC),72,=
23937,DR01,2017/03/07 10:36:03+00,Escherichia coli (CFU),400,=
24184,DR05,2017/09/05 09:48:21+00,Escherichia coli (CFU),740,=
24242,DR05,2017/03/07 10:57:35+00,Escherichia coli (CFU),970,=
24580,DR05,2017/06/06 08:51:28+00,Escherichia coli (CFU),5400,=
24603,DR05,2017/11/02 00:00:00+00,Escherichia coli (CFU),5500,=
24621,DR05,2017/12/05 10:03:34+00,Escherichia coli (CFU),7100,=
24631,DR05,2017/08/01 11:33:05+00,Escherichia coli (CFU),7800,=
24640,DR05,2017/01/10 10:08:41+00,Escherichia coli (CFU),9200,=
24685,DR01,2017/06/06 08:40:42+00,Escherichia coli (CFU),26000,=
24686,DR05,2017/02/07 09:30:18+00,Escherichia coli (CFU),27000,=
24698,DR05,2017/07/04 10:28:37+00,Escherichia coli (CFU),34000,=
24702,DR01,2017/02/07 09:20:26+00,Escherichia coli (CFU),41000,=
24710,DR01,2017/11/02 00:00:00+00,Escherichia coli (CFU),37000,=
24748,DR01,2017/01/10 09:51:20+00,Escherichia coli (CFU),52000,=
24761,DR01,2017/09/05 09:37:20+00,Escherichia coli (CFU),72000,=
24775,DR01,2017/12/05 09:41:36+00,Escherichia coli (CFU),89000,=
24806,DR01,2017/08/01 10:57:45+00,Escherichia coli (CFU),110000,=
24816,DR01,2017/07/04 10:13:36+00,Escherichia coli (CFU),250000,=
24817,DR01,2017/10/03 09:25:26+00,Escherichia coli (CFU),260000,=
24851,DR01,2017/05/02 00:00:00+00,Escherichia coli (CFU),420000,=
25027,DR01,2017/01/10 09:51:33+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
25079,DR01,2017/02/07 09:20:34+00,Nitrate + Nitrite as Nitrogen (MGL),0.05,<
