"site_order","site_description","site_id","category","coastline","long","lat","active","site_id-2","sample_date","sample_time","analysis_completed","sample_temp_c","censored_value","numeric_value","filename","lab_code","monitoring_group"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-07-07","10:57:00","2025-07-09","2.4","5","5","Infinity Environmental AD.182.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-07-07","10:44:00","2025-07-09","2.4","3","3","Infinity Environmental AD.182.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-07-07","10:39:00","2025-07-09","2.4","18","18","Infinity Environmental AD.182.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-07-07","09:15:00","2025-07-09","3.7","580","580","Oelofse G.120.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-07-07","09:07:00","2025-07-09","3.7","1 200","1200","Oelofse G.120.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-07-04","08:18:00","2025-07-06","3.2","790","790","Oelofse G.119.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-07-04","08:17:00","2025-07-06","1.5","32","32","Infinity Environmental AD.181.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-07-04","08:10:00","2025-07-06","1.5","12","12","Infinity Environmental AD.181.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-07-04","08:09:00","2025-07-06","3.2","550","550","Oelofse G.119.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-07-04","08:05:00","2025-07-06","1.5","9","9","Infinity Environmental AD.181.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-07-03","09:39:00","2025-07-05","3.6","530","530","Oelofse G.118.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-07-03","09:30:00","2025-07-05","3.6","390","390","Oelofse G.118.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-07-03","08:25:00","2025-07-05","1.4","62","62","Infinity Environmental AD.180.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-07-03","08:20:00","2025-07-05","1.4","41","41","Infinity Environmental AD.180.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-07-03","08:15:00","2025-07-05","1.4","50","50","Infinity Environmental AD.180.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-07-02","09:50:00","2025-07-04","3.2","93","93","Infinity Environmental AD.179.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-07-02","09:31:00","2025-07-04","3.6","123","123","Oelofse G.117.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-07-02","09:22:00","2025-07-04","3.6","73","73","Oelofse G.117.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-07-02","09:06:00","2025-07-04","3.2","46","46","Infinity Environmental AD.179.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-07-02","08:56:00","2025-07-04","3.2","59","59","Infinity Environmental AD.179.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-07-01","09:21:00","2025-07-03","2.5","50","50","Oelofse G.116.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-07-01","09:13:00","2025-07-03","2.5","42","42","Oelofse G.116.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-07-01","08:17:00","2025-07-03","4.6","66","66","Infinity Environmental AD.177.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-07-01","08:10:00","2025-07-03","4.6","32","32","Infinity Environmental AD.177.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-07-01","08:05:00","2025-07-03","4.6","43","43","Infinity Environmental AD.177.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-30","09:23:00","2025-07-02","2.8","98","98","Oelofse G.115.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-30","09:15:00","2025-07-02","4.1","25","25","Infinity Environmental AD.175.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-30","09:15:00","2025-07-02","2.8","106","106","Oelofse G.115.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-30","08:11:00","2025-07-02","4.1","12","12","Infinity Environmental AD.175.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-30","08:06:00","2025-07-02","4.1","18","18","Infinity Environmental AD.175.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-27","09:32:00","2025-06-29","3","2 960","2960","Oelofse G.114.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-27","09:20:00","2025-06-29","3","2 200","2200","Oelofse G.114.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-27","08:23:00","2025-06-29","1.1","96","96","Infinity Environmental AD.174.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-27","08:15:00","2025-06-29","1.1","27","27","Infinity Environmental AD.174.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-27","08:10:00","2025-06-29","1.1","36","36","Infinity Environmental AD.174.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-26","09:12:00","2025-06-28","4.4","9 200","9200","Oelofse G.113.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-26","09:00:00","2025-06-28","4.4","4 400","4400","Oelofse G.113.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-26","08:20:00","2025-06-28","1.6","1 340","1340","Infinity Environmental AD.173.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-26","08:11:00","2025-06-28","1.6","203","203","Infinity Environmental AD.173.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-26","08:05:00","2025-06-28","1.6","246","246","Infinity Environmental AD.173.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-25","09:11:00","2025-06-27","4.6","260","260","Oelofse G.112.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-25","08:58:00","2025-06-27","4.6","165","165","Oelofse G.112.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-25","08:20:00","2025-06-27","2.2","10","10","Infinity Environmental AD.172.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-25","08:06:00","2025-06-27","2.2","8","8","Infinity Environmental AD.172.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-25","08:00:00","2025-06-27","2.2","14","14","Infinity Environmental AD.172.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-24","09:07:00","2025-06-26","4.3","110","110","Oelofse G.111.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-24","08:56:00","2025-06-26","4.3","142","142","Oelofse G.111.pdf","WLAB","daily"
