enterococci_cfu_per_100ml,site_id,sample_time,sample_date,analysis_completed,sample_temp_c,filename
13,CN31,10:50:00,2025-01-28,2025-01-30,8.8,2025-01-28_WALAB_Atlantic.pdf
46,ICS12,10:28:00,2025-01-29,2025-01-31,10,2025-01-29_WALAB_Atlantic.pdf
25,ICS10,10:25:00,2025-01-29,2025-01-31,10,2025-01-29_WALAB_Atlantic.pdf
11,CN31,10:37:00,2025-01-29,2025-01-31,10,2025-01-29_WALAB_Atlantic.pdf
34,ICS12,10:37:00,2025-01-30,2025-02-01,6.5,2025-01-30_WALAB_Atlantic.pdf
13,ICS10,10:35:00,2025-01-30,2025-02-01,6.5,2025-01-30_WALAB_Atlantic.pdf
48,CN31,10:50:00,2025-01-30,2025-02-01,6.5,2025-01-30_WALAB_Atlantic.pdf
17,ICS12,10:49:00,2025-01-31,2025-02-02,4.3,2025-01-31_WALAB_Atlantic.pdf
7,ICS10,10:45:00,2025-01-31,2025-02-02,4.3,2025-01-31_WALAB_Atlantic.pdf
41,CN31,11:05:00,2025-01-31,2025-02-02,4.3,2025-01-31_WALAB_Atlantic.pdf
7,ICS12,10:38:00,2025-02-03,2025-02-05,6,2025-02-03_WALAB_Atlantic.pdf
2,ICS10,10:35:00,2025-02-03,2025-02-05,6,2025-02-03_WALAB_Atlantic.pdf
4,CN31,10:49:00,2025-02-03,2025-02-05,6,2025-02-03_WALAB_Atlantic.pdf
4,ICS12,10:38:00,2025-02-04,2025-02-06,7,2025-02-04_WALAB_Atlantic.pdf
2,ICS10,10:35:00,2025-02-04,2025-02-06,7,2025-02-04_WALAB_Atlantic.pdf
2,CN31,10:45:00,2025-02-04,2025-02-06,7,2025-02-04_WALAB_Atlantic.pdf
43,ICS12,10:52:00,2025-02-05,2025-02-07,4,2025-02-05_WALAB_Atlantic.pdf
21,ICS10,10:48:00,2025-02-05,2025-02-07,4,2025-02-05_WALAB_Atlantic.pdf
114,CN31,11:05:00,2025-02-05,2025-02-07,4,2025-02-05_WALAB_Atlantic.pdf
19,ICS12,12:23:00,2025-02-06,2025-02-08,1.9,2025-02-06_WALAB_Atlantic.pdf
8,ICS10,12:26:00,2025-02-06,2025-02-08,1.9,2025-02-06_WALAB_Atlantic.pdf
13,CN31,12:40:00,2025-02-06,2025-02-08,1.9,2025-02-06_WALAB_Atlantic.pdf
21,ICS12,11:33:00,2025-02-07,2025-02-09,6.3,2025-02-07_WALAB_Atlantic.pdf
6,ICS10,11:28:00,2025-02-07,2025-02-09,6.3,2025-02-07_WALAB_Atlantic.pdf
5,CN31,11:51:00,2025-02-07,2025-02-09,6.3,2025-02-07_WALAB_Atlantic.pdf
11,ICS12,11:27:00,2025-02-11,2025-02-13,9.2,2025-02-11_WALAB_Atlantic.pdf
9,ICS10,11:24:00,2025-02-11,2025-02-13,9.2,2025-02-11_WALAB_Atlantic.pdf
4,CN31,11:43:00,2025-02-11,2025-02-13,9.2,2025-02-11_WALAB_Atlantic.pdf
4,ICS12,10:50:00,2025-02-12,2025-02-14,5.6,2025-02-12_WALAB_Atlantic.pdf
ND,ICS10,11:00:00,2025-02-12,2025-02-14,5.6,2025-02-12_WALAB_Atlantic.pdf
1,CN31,11:30:00,2025-02-12,2025-02-14,5.6,2025-02-12_WALAB_Atlantic.pdf
2,ICS12,10:24:00,2025-02-13,2025-02-15,2,2025-02-13_WALAB_Atlantic.pdf
1,ICS10,10:22:00,2025-02-13,2025-02-15,2,2025-02-13_WALAB_Atlantic.pdf
3,CN31,10:33:00,2025-02-13,2025-02-15,2,2025-02-13_WALAB_Atlantic.pdf
7,ICS12,10:16:00,2025-02-14,2025-02-16,4.5,2025-02-14_WALAB_Atlantic.pdf
3,ICS10,10:13:00,2025-02-14,2025-02-16,4.5,2025-02-14_WALAB_Atlantic.pdf
5,CN31,10:25:00,2025-02-14,2025-02-16,4.5,2025-02-14_WALAB_Atlantic.pdf
2,ICS12,12:00:00,2025-02-17,2025-02-19,7.5,2025-02-17_WALAB_Atlantic.pdf
ND,ICS10,11:57:00,2025-02-17,2025-02-19,7.5,2025-02-17_WALAB_Atlantic.pdf
2,CN31,12:02:00,2025-02-17,2025-02-19,7.5,2025-02-17_WALAB_Atlantic.pdf
13,ICS12,11:25:00,2025-02-18,2025-02-20,7.1,2025-02-18_WALAB_Atlantic.pdf
4,ICS10,11:22:00,2025-02-18,2025-02-20,7.1,2025-02-18_WALAB_Atlantic.pdf
6,CN31,11:50:00,2025-02-18,2025-02-20,7.1,2025-02-18_WALAB_Atlantic.pdf
8,ICS12,09:31:00,2025-02-19,2025-02-21,3,2025-02-19_WALAB_Atlantic.pdf
27,ICS10,09:28:00,2025-02-19,2025-02-21,3,2025-02-19_WALAB_Atlantic.pdf
6,CN31,09:48:00,2025-02-19,2025-02-21,3,2025-02-19_WALAB_Atlantic.pdf
42,ICS12,10:29:00,2025-02-21,2025-02-23,7.1,2025-02-21_WALAB_Atlantic.pdf
11,ICS10,10:26:00,2025-02-21,2025-02-23,7.1,2025-02-21_WALAB_Atlantic.pdf
4,CN31,10:39:00,2025-02-21,2025-02-23,7.1,2025-02-21_WALAB_Atlantic.pdf
3,ICS12,10:18:00,2025-02-24,2025-02-26,7.3,2025-02-24_WALAB_Atlantic.pdf
ND,ICS10,10:15:00,2025-02-24,2025-02-26,7.3,2025-02-24_WALAB_Atlantic.pdf
1,CN31,10:32:00,2025-02-24,2025-02-26,7.3,2025-02-24_WALAB_Atlantic.pdf
1720,ICS15,13:30:00,2025-02-24,2025-02-26,7.3,2025-02-24_WALAB_Atlantic.pdf
62,ICS12,11:45:00,2025-02-25,2025-02-27,8.9,2025-02-25_WALAB_Atlantic.pdf
39,ICS10,11:40:00,2025-02-25,2025-02-27,8.9,2025-02-25_WALAB_Atlantic.pdf
1,CN31,11:57:00,2025-02-25,2025-02-27,8.9,2025-02-25_WALAB_Atlantic.pdf
17,ICS15,12:20:00,2025-02-25,2025-02-27,8.9,2025-02-25_WALAB_Atlantic.pdf
18,ICS12,10:28:00,2025-02-26,2025-02-28,8.6,2025-02-26_WALAB_Atlantic.pdf
7,ICS10,10:25:00,2025-02-26,2025-02-28,8.6,2025-02-26_WALAB_Atlantic.pdf
16,CN31,10:41:00,2025-02-26,2025-02-28,8.6,2025-02-26_WALAB_Atlantic.pdf
37,ICS12,09:37:00,2025-02-27,2025-03-01,6.7,2025-02-27_WALAB_Atlantic.pdf
11,ICS10,09:34:00,2025-02-27,2025-03-01,6.7,2025-02-27_WALAB_Atlantic.pdf
2,CN31,09:50:00,2025-02-27,2025-03-01,6.7,2025-02-27_WALAB_Atlantic.pdf
22,ICS12,09:50:00,2025-02-28,2025-03-02,5.8,2025-02-28_WALAB_Atlantic.pdf
9,ICS10,10:00:00,2025-02-28,2025-03-02,5.8,2025-02-28_WALAB_Atlantic.pdf
6,CN31,10:30:00,2025-02-28,2025-03-02,5.8,2025-02-28_WALAB_Atlantic.pdf
2,ICS12,11:33:00,2025-03-03,2025-03-05,18.6,2025-03-03_WALAB_Atlantic.pdf
18,ICS10,11:29:00,2025-03-03,2025-03-05,18.6,2025-03-03_WALAB_Atlantic.pdf
ND,CN31,12:10:00,2025-03-03,2025-03-05,18.6,2025-03-03_WALAB_Atlantic.pdf
9,ICS12,10:34:00,2025-03-04,2025-03-06,11.7,2025-03-04_WALAB_Atlantic.pdf
12,ICS10,10:30:00,2025-03-04,2025-03-06,11.7,2025-03-04_WALAB_Atlantic.pdf
2,CN31,10:42:00,2025-03-04,2025-03-06,11.7,2025-03-04_WALAB_Atlantic.pdf
3,ICS12,11:40:00,2025-03-05,2025-03-07,9.7,2025-03-05_WALAB_Atlantic.pdf
7,ICS10,11:45:00,2025-03-05,2025-03-07,9.7,2025-03-05_WALAB_Atlantic.pdf
4,CN31,12:20:00,2025-03-05,2025-03-07,9.7,2025-03-05_WALAB_Atlantic.pdf
2,ICS12,10:21:00,2025-03-06,2025-03-08,8.3,2025-03-06_WALAB_Atlantic.pdf
5,ICS10,10:19:00,2025-03-06,2025-03-08,8.3,2025-03-06_WALAB_Atlantic.pdf
5,CN31,10:36:00,2025-03-06,2025-03-08,8.3,2025-03-06_WALAB_Atlantic.pdf
8,ICS12,10:11:00,2025-03-07,2025-03-09,3.9,2025-03-07_WALAB_Atlantic.pdf
28,ICS10,10:06:00,2025-03-07,2025-03-09,3.9,2025-03-07_WALAB_Atlantic.pdf
3,CN31,10:22:00,2025-03-07,2025-03-09,3.9,2025-03-07_WALAB_Atlantic.pdf
11,ICS12,11:42:00,2025-03-10,2025-03-12,7,2025-03-10_WALAB_Atlantic.pdf
1,ICS10,11:38:00,2025-03-10,2025-03-12,7,2025-03-10_WALAB_Atlantic.pdf
9,CN31,11:53:00,2025-03-10,2025-03-12,7,2025-03-10_WALAB_Atlantic.pdf
102,ICS12,10:58:00,2025-03-11,2025-03-13,8.9,2025-03-11_WALAB_Atlantic.pdf
11,ICS10,10:54:00,2025-03-11,2025-03-13,8.9,2025-03-11_WALAB_Atlantic.pdf
2,CN31,11:09:00,2025-03-11,2025-03-13,8.9,2025-03-11_WALAB_Atlantic.pdf
3,ICS12,10:50:00,2025-03-12,2025-03-14,8,2025-03-12_WALAB_Atlantic.pdf
2,ICS10,10:48:00,2025-03-12,2025-03-14,8,2025-03-12_WALAB_Atlantic.pdf
4,CN31,11:01:00,2025-03-12,2025-03-14,8,2025-03-12_WALAB_Atlantic.pdf
100,ICS12,11:45:00,2025-03-13,2025-03-15,7.9,2025-03-13_WALAB_Atlantic.pdf
21,ICS10,11:50:00,2025-03-13,2025-03-15,7.9,2025-03-13_WALAB_Atlantic.pdf
26,CN31,12:10:00,2025-03-13,2025-03-15,7.9,2025-03-13_WALAB_Atlantic.pdf
26,ICS12,11:33:00,2025-03-14,2025-03-16,9.2,2025-03-14_WALAB_Atlantic.pdf
9,ICS10,11:30:00,2025-03-14,2025-03-16,9.2,2025-03-14_WALAB_Atlantic.pdf
ND,CN31,11:48:00,2025-03-14,2025-03-16,9.2,2025-03-14_WALAB_Atlantic.pdf
5,ICS12,10:45:00,2025-03-17,2025-03-19,5.8,2025-03-17_WALAB_Atlantic.pdf
2,ICS10,10:53:00,2025-03-17,2025-03-19,5.8,2025-03-17_WALAB_Atlantic.pdf
1,CN31,11:10:00,2025-03-17,2025-03-19,5.8,2025-03-17_WALAB_Atlantic.pdf
2,ICS12,11:03:00,2025-03-18,2025-03-20,3.8,2025-03-18_WALAB_Atlantic.pdf
3,ICS10,11:00:00,2025-03-18,2025-03-20,3.8,2025-03-18_WALAB_Atlantic.pdf
ND,CN31,11:15:00,2025-03-18,2025-03-20,3.8,2025-03-18_WALAB_Atlantic.pdf
2,ICS12,10:53:00,2025-03-19,2025-03-21,2.4,2025-03-19_WALAB_Atlantic.pdf
ND,ICS10,10:49:00,2025-03-19,2025-03-21,2.4,2025-03-19_WALAB_Atlantic.pdf
ND,CN31,11:04:00,2025-03-19,2025-03-21,2.4,2025-03-19_WALAB_Atlantic.pdf
9,ICS12,10:56:00,2025-03-20,2025-03-22,2.5,2025-03-20_WALAB_Atlantic.pdf
3,ICS10,10:50:00,2025-03-20,2025-03-22,2.5,2025-03-20_WALAB_Atlantic.pdf
5,CN31,11:18:00,2025-03-20,2025-03-22,2.5,2025-03-20_WALAB_Atlantic.pdf
12,ICS12,10:15:00,2025-03-24,2025-03-26,3.1,2025-03-24_WALAB_Atlantic.pdf
8,ICS10,10:20:00,2025-03-24,2025-03-26,3.1,2025-03-24_WALAB_Atlantic.pdf
7,CN31,10:30:00,2025-03-24,2025-03-26,3.1,2025-03-24_WALAB_Atlantic.pdf
5,ICS12,10:56:00,2025-03-25,2025-03-27,7.9,2025-03-25_WALAB_Atlantic.pdf
7,ICS10,10:51:00,2025-03-25,2025-03-27,7.9,2025-03-25_WALAB_Atlantic.pdf
3,CN31,11:05:00,2025-03-25,2025-03-27,7.9,2025-03-25_WALAB_Atlantic.pdf
44,ICS12,10:20:00,2025-03-26,2025-03-28,7.7,2025-03-26_WALAB_Atlantic.pdf
9,ICS10,10:15:00,2025-03-26,2025-03-28,7.7,2025-03-26_WALAB_Atlantic.pdf
