sample_date,date_received,site_description,site_id,sample_time,enterococci_cfu_per_100ml
2024-08-28,2024-08-28,Camps Bay Central,CN41,11:00:00,ND
2024-08-28,2024-08-28,Glen Beach,CN31,11:10:00,ND
2024-08-29,2024-08-29,Camps Bay In front of Lifesaving Tower,ICS12,10:45:00,ND
2024-08-29,2024-08-29,Camps Bay Central,CN41,10:50:00,ND
2024-08-29,2024-08-29,Glen Beach,CN31,11:00:00,ND
2024-08-30,2024-08-30,Camps Bay In front of Lifesaving Tower,ICS12,10:15:00,ND
2024-08-30,2024-08-30,Camps Bay Central,CN41,10:25:00,ND
2024-08-30,2024-08-30,Glen Beach,CN31,10:45:00,ND
2024-08-30,2024-08-30,Mouille Point,CN04,11:10:00,ND
2024-08-30,2024-08-30,Mouille Point,CN04,10:15:00,ND
2024-09-02,2024-09-02,Camps Bay In front of Lifesaving Tower,ICS12,10:25:00,ND
2024-09-02,2024-09-02,Camps Bay Central,CN41,10:30:00,ND
2024-09-02,2024-09-02,Glen Beach,CN31,11:00:00,ND
2024-09-02,2024-09-02,Mouille Point,CN04,11:25:00,ND
2024-09-03,2024-09-03,Camps Bay In front of Lifesaving Tower,ICS12,13:50:00,ND
2024-09-03,2024-09-03,Camps Bay Central,CN41,13:55:00,ND
2024-09-03,2024-09-03,Glen Beach,CN31,14:08:00,ND
2024-09-03,2024-09-03,Mouille Point,CN04,14:40:00,ND
2024-09-04,2024-09-05,Camps Bay In front of Lifesaving Tower,ICS12,12:25:00,ND
2024-09-04,2024-09-05,Camps Bay Central,CN41,12:34:00,ND
2024-09-04,2024-09-05,Glen Beach,CN31,12:52:00,ND
2024-09-04,2024-09-05,Mouille Point,CN04,13:32:00,ND
2024-09-04,2024-09-04,Camps Bay In front of Lifesaving Tower,ICS12,08:44:00,ND
2024-09-05,2024-09-05,Camps Bay In front of Lifesaving Tower,ICS12,10:30:00,ND
2024-09-05,2024-09-05,Camps Bay Central,CN41,10:35:00,ND
2024-09-05,2024-09-05,Glen Beach,CN31,10:50:00,4
2024-09-05,2024-09-05,Mouille Point,CN04,11:20:00,2
2024-09-06,2024-09-06,Camps Bay In front of Lifesaving Tower,ICS12,10:06:00,ND
2024-09-06,2024-09-06,Camps Bay Central,CN41,10:12:00,ND
2024-09-06,2024-09-06,Glen Beach,CN31,10:25:00,ND
2024-09-06,2024-09-06,Mouille Point,CN04,11:00:00,ND
2024-09-09,2024-09-09,Camps Bay In front of Lifesaving Tower,ICS12,10:30:00,3
2024-09-09,2024-09-09,Camps Bay Central,CN41,10:35:00,ND
2024-09-09,2024-09-09,Glen Beach,CN31,10:55:00,ND
2024-09-09,2024-09-09,Mouille Point,CN04,11:20:00,ND
2024-09-10,2024-09-10,Camps Bay In front of Lifesaving Tower,ICS12,11:58:00,ND
2024-09-10,2024-09-10,Camps Bay Central,CN41,11:53:00,ND
2024-09-10,2024-09-10,Glen Beach,CN31,11:40:00,ND
2024-09-10,2024-09-10,Mouille Point,CN04,11:12:00,ND
2024-09-10,2024-09-10,Camps Bay In front of Lifesaving Tower,ICS12,10:37:00,ND
2024-09-11,2024-09-11,Camps Bay In front of Lifesaving Tower,ICS12,10:50:00,ND
2024-09-11,2024-09-11,Camps Bay Central,CN41,10:55:00,ND
2024-09-11,2024-09-11,Glen Beach,CN31,11:15:00,>150
2024-09-11,2024-09-11,Mouille Point,CN04,11:45:00,>150
2024-09-12,2024-09-12,Camps Bay In front of Lifesaving Tower,ICS12,10:10:00,ND
2024-09-12,2024-09-12,Camps Bay Central,CN41,10:17:00,ND
2024-09-12,2024-09-12,Glen Beach,CN31,10:30:00,ND
2024-09-12,2024-09-12,Mouille Point,CN04,11:00:00,ND
2024-09-13,2024-09-13,Camps Bay In front of Lifesaving Tower,ICS12,10:45:00,ND
2024-09-13,2024-09-13,Camps Bay Central,CN41,10:50:00,ND
2024-09-13,2024-09-13,Glen Beach,CN31,11:00:00,ND
2024-09-13,2024-09-13,Mouille Point,CN04,11:45:00,ND
2024-09-16,2024-09-16,Camps Bay In front of Lifesaving Tower,ICS12,11:30:00,ND
2024-09-16,2024-09-16,Camps Bay Central,CN41,11:45:00,ND
2024-09-16,2024-09-16,Glen Beach,CN31,12:35:00,ND
2024-09-16,2024-09-16,Mouille Point,CN04,12:55:00,ND
2024-09-17,2024-09-17,Camps Bay In front of Lifesaving Tower,ICS12,11:45:00,ND
2024-09-17,2024-09-17,Camps Bay Central,CN41,11:50:00,5
2024-09-17,2024-09-17,Glen Beach,CN31,12:05:00,9
2024-09-17,2024-09-17,Mouille Point,CN04,12:30:00,65
2024-09-17,2024-09-17,Camps Bay In front of Lifesaving Tower,ICS12,08:45:00,12
2024-09-19,2024-09-19,Camps Bay In front of Lifesaving Tower,ICS12,NA,ND
2024-09-19,2024-09-19,Camps Bay Central,CN41,NA,ND
2024-09-19,2024-09-19,Glen Beach,CN31,NA,ND
2024-09-19,2024-09-19,Mouille Point,CN04,NA,ND
2024-09-20,2024-09-20,Camps Bay In front of Lifesaving Tower,ICS12,NA,ND
2024-09-20,2024-09-20,Camps Bay Central,CN41,NA,ND
2024-09-20,2024-09-20,Glen Beach,CN31,NA,ND
2024-09-20,2024-09-20,Mouille Point,CN04,NA,ND
2024-09-23,2024-09-23,Camps Bay In front of Lifesaving Tower,ICS12,10:30:00,38
2024-09-23,2024-09-23,Camps Bay Central,CN41,11:45:00,ND
2024-09-23,2024-09-23,Glen Beach,CN31,11:00:00,ND
2024-09-23,2024-09-23,Mouille Point,CN04,11:30:00,97
2024-09-26,2024-09-26,Camps Bay In front of Lifesaving Tower,ICS12,10:18:00,3
2024-09-26,2024-09-26,Camps Bay Central,CN41,10:12:00,2
2024-09-26,2024-09-26,Glen Beach,CN31,10:24:00,1
2024-09-26,2024-09-26,Mouille Point,CN04,10:48:00,64
2024-09-27,2024-09-27,Camps Bay In front of Lifesaving Tower,ICS12,07:44:00,ND
2024-09-27,2024-09-27,Camps Bay In front of Lifesaving Tower,ICS12,10:15:00,2
2024-09-27,2024-09-27,Camps Bay Central,CN41,10:20:00,ND
2024-09-27,2024-09-27,Glen Beach,CN31,10:45:00,ND
2024-09-27,2024-09-27,Mouille Point,CN04,11:05:00,>150
2024-09-30,2024-09-30,Camps Bay In front of Lifesaving Tower,ICS12,11:34:00,ND
2024-09-30,2024-09-30,Camps Bay Central,CN41,11:38:00,ND
2024-09-30,2024-09-30,Glen Beach,CN31,11:47:00,ND
2024-09-30,2024-09-30,Mouille Point,CN04,12:10:00,47
2024-10-03,2024-10-03,Camps Bay In front of Lifesaving Tower,ICS12,12:45:00,1
2024-10-03,2024-10-03,Camps Bay Central,CN41,13:00:00,8
2024-10-03,2024-10-03,Glen Beach,CN31,13:15:00,1
2024-10-03,2024-10-03,Mouille Point,CN04,13:37:00,ND
2024-10-04,2024-10-04,Camps Bay In front of Lifesaving Tower,ICS12,12:13:00,1
2024-10-04,2024-10-04,Camps Bay Central,CN41,12:20:00,ND
2024-10-04,2024-10-04,Glen Beach,CN31,12:26:00,ND
2024-10-04,2024-10-04,Mouille Point,CN04,12:50:00,141
