start_date,start_time,serial
2025-11-24,09:13:33,1999538314
2025-11-24,09:15:44,1207176197
2025-11-24,15:57:43,1239720126
2025-11-24,15:58:47,831318297
2025-11-26,07:48:19,1191965538
2025-11-27,11:03:42,831318297
2025-11-27,15:16:00,1999538314
2025-11-27,15:16:48,1239720126
2025-11-27,15:17:37,1207176197
2025-11-28,16:01:53,1239720126
2025-11-28,16:02:55,1191965538
