date_time,site_id,n,replicate,date,time,label
2026-06-24T09:00:00Z,XCS34,1,A,24 June,09:00:00,09:00:00A
2026-06-24T10:00:00Z,XCS26,4,A,24 June,10:00:00,10:00:00A
2026-06-24T10:00:00Z,XCS26,4,B,24 June,10:00:00,10:00:00B
2026-06-24T10:00:00Z,XCS26,4,C,24 June,10:00:00,10:00:00C
2026-06-24T10:00:00Z,XCS26,4,D,24 June,10:00:00,10:00:00D
2026-06-24T10:00:00Z,XCS34,1,A,24 June,10:00:00,10:00:00A
2026-06-24T11:00:00Z,XCS26,1,A,24 June,11:00:00,11:00:00A
2026-06-24T11:00:00Z,XCS34,4,A,24 June,11:00:00,11:00:00A
2026-06-24T11:00:00Z,XCS34,4,B,24 June,11:00:00,11:00:00B
2026-06-24T11:00:00Z,XCS34,4,C,24 June,11:00:00,11:00:00C
2026-06-24T11:00:00Z,XCS34,4,D,24 June,11:00:00,11:00:00D
2026-06-24T12:00:00Z,XCS26,1,A,24 June,12:00:00,12:00:00A
2026-06-24T12:00:00Z,XCS34,1,A,24 June,12:00:00,12:00:00A
2026-06-24T13:00:00Z,XCS26,1,A,24 June,13:00:00,13:00:00A
2026-06-24T13:00:00Z,XCS34,1,A,24 June,13:00:00,13:00:00A
2026-06-24T14:00:00Z,XCS26,1,A,24 June,14:00:00,14:00:00A
2026-06-24T14:00:00Z,XCS34,1,A,24 June,14:00:00,14:00:00A
2026-06-24T15:00:00Z,XCS26,1,A,24 June,15:00:00,15:00:00A
2026-06-24T15:00:00Z,XCS34,1,A,24 June,15:00:00,15:00:00A
2026-06-24T16:00:00Z,XCS26,3,A,24 June,16:00:00,16:00:00A
2026-06-24T16:00:00Z,XCS26,3,B,24 June,16:00:00,16:00:00B
2026-06-24T16:00:00Z,XCS26,3,C,24 June,16:00:00,16:00:00C
2026-06-24T16:00:00Z,XCS34,1,A,24 June,16:00:00,16:00:00A
2026-06-24T17:00:00Z,XCS26,1,A,24 June,17:00:00,17:00:00A
2026-06-24T17:00:00Z,XCS34,3,A,24 June,17:00:00,17:00:00A
2026-06-24T17:00:00Z,XCS34,3,B,24 June,17:00:00,17:00:00B
2026-06-24T17:00:00Z,XCS34,3,C,24 June,17:00:00,17:00:00C
2026-06-24T18:00:00Z,XCS26,1,A,24 June,18:00:00,18:00:00A
2026-06-24T18:00:00Z,XCS34,1,A,24 June,18:00:00,18:00:00A
